"Relative Time","Hits"
"00:00","0.125"
"00:08","0.75"
"00:16","4.125"
"00:24","3.125"
"00:32","4.625"
"00:40","4.125"
"00:48","9.625"
"00:56","9.5"
"01:04","13.125"
"01:12","12.875"
"01:20","15.125"
"01:28","9.875"
"01:36","10.5"
"01:44","10.875"
"01:52","9.625"
"02:00","11.625"
"02:08","6.75"
"02:16","5.75"
"02:24","7.875"
"02:32","4.25"
"02:40","12"
"02:48","8.375"
"02:56","14.25"
"03:04","10.875"
"03:12","14.375"
"03:20","11.375"
"03:28","13.375"
"03:36","8.75"
"03:44","11.875"
"03:52","5.75"
"04:00","8.625"
"04:08","9"
"04:16","10.125"
"04:24","11.375"
"04:32","12.25"
"04:40","13.625"
"04:48","13.625"
"04:56","10.625"
"05:04","9.875"
"05:12","9.375"
"05:20","10.875"
"05:28","3.5"
"05:36","2.5"
"05:44","1.5"
"05:52","4"
"06:00","1.75"
"06:08","2"
